,Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,RL,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,706,0,150,GasA,Ex,Y,SBrkr,6.752270376141742,854,0,7.444248649496705,1,0,2,1,3,1,Gd,Typ,0,548,Y,0,61,0,0,0,0,0,2,2008,WD,Normal,12.247694320220994
1,2,20,RL,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,978,0,284,GasA,Ex,Y,SBrkr,7.140453043101158,0,0,7.140453043101158,0,1,2,0,3,1,TA,Typ,1,460,Y,298,0,0,0,0,0,0,5,2007,WD,Normal,12.109010932687042
2,3,60,RL,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,486,0,434,GasA,Ex,Y,SBrkr,6.824373670043086,866,0,7.487733761436444,1,0,2,1,3,1,Gd,Typ,1,608,Y,0,42,0,0,0,0,0,9,2008,WD,Normal,12.31716669303576
3,4,70,RL,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,TA,TA,BrkTil,216,0,540,GasA,Gd,Y,SBrkr,6.8679744089702925,756,0,7.448333860897476,1,0,1,0,3,1,Gd,Typ,1,642,Y,0,35,272,0,0,0,0,2,2006,WD,Abnorml,11.84939770159144
4,5,60,RL,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,655,0,490,GasA,Ex,Y,SBrkr,7.0431599159883405,1053,0,7.6953031349635665,1,0,2,1,4,1,Gd,Typ,1,836,Y,192,84,0,0,0,0,0,12,2008,WD,Normal,12.429216196844383
5,6,50,RL,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,Wood,732,0,64,GasA,Ex,Y,SBrkr,6.679599185844383,566,0,7.216709486709457,1,0,1,1,1,1,TA,Typ,0,480,Y,40,30,0,320,0,0,700,10,2009,WD,Normal,11.870599909242044
6,7,20,RL,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1369,0,317,GasA,Ex,Y,SBrkr,7.434847875211999,0,0,7.434847875211999,1,0,2,0,3,1,Gd,Typ,1,636,Y,255,57,0,0,0,0,0,8,2007,WD,Normal,12.634603026569334
7,8,60,RL,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,859,32,216,GasA,Ex,Y,SBrkr,7.009408932708637,983,0,7.644919344958857,1,0,2,1,3,1,TA,Typ,2,484,Y,235,204,228,0,0,0,350,11,2009,WD,Normal,12.206072645530174
8,9,50,RM,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,TA,TA,BrkTil,0,0,952,GasA,Gd,Y,FuseF,6.92951677076365,752,0,7.480992162869525,0,0,2,0,2,2,TA,Min1,2,468,Y,90,0,205,0,0,0,0,4,2008,WD,Abnorml,11.77452020265869
9,10,190,RL,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,851,0,140,GasA,Ex,Y,SBrkr,6.981934677156389,0,0,6.981934677156389,1,0,1,0,2,2,TA,Typ,2,205,Y,0,4,0,0,0,0,0,1,2008,WD,Normal,11.678439903447801
10,11,20,RL,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,906,0,134,GasA,Ex,Y,SBrkr,6.946975992135418,0,0,6.946975992135418,1,0,1,0,3,1,TA,Typ,0,384,Y,0,0,0,0,0,0,0,2,2008,WD,Normal,11.771436160121729
11,12,60,RL,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Ex,TA,PConc,998,0,177,GasA,Ex,Y,SBrkr,7.074963197966044,1142,0,7.751045117971802,1,0,3,0,4,1,Ex,Typ,2,736,Y,147,21,0,0,0,0,0,7,2006,New,Partial,12.751299696013497
12,13,20,RL,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,TA,TA,CBlock,737,0,175,GasA,TA,Y,SBrkr,6.815639990074331,0,0,6.815639990074331,1,0,1,0,2,1,TA,Typ,0,352,Y,140,0,0,0,176,0,0,9,2008,WD,Normal,11.877568578558138
13,14,20,RL,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1494,GasA,Ex,Y,SBrkr,7.309212365692763,0,0,7.309212365692763,0,0,2,0,3,1,Gd,Typ,1,840,Y,160,33,0,0,0,0,0,8,2007,New,Partial,12.540757571577291
14,15,20,RL,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,733,0,520,GasA,TA,Y,SBrkr,7.133295954896068,0,0,7.133295954896068,1,0,1,1,2,1,TA,Typ,1,352,Y,0,213,176,0,0,0,0,5,2008,WD,Normal,11.964001084330445
